2017;3557;CURSO;SERIE;Matutino;211;História;1ª Etapa;28.50;0
2017;3557;CURSO;SERIE;Matutino;211;História;1ª Etapa - Resultado;28.50;0
2017;3557;CURSO;SERIE;Matutino;211;História;2ª Etapa;35.00;0
2017;3557;CURSO;SERIE;Matutino;211;História;2ª Etapa - Resultado;35.00;0
2017;3557;CURSO;SERIE;Matutino;211;História;3ª Etapa;10.00;0
2017;3557;CURSO;SERIE;Matutino;211;História;Total;73.50;0
2017;3557;CURSO;SERIE;Matutino;211;Informática Educacional;1ª Etapa;30.00;0
2017;3557;CURSO;SERIE;Matutino;211;Informática Educacional;1ª Etapa - Resultado;30.00;0
2017;3557;CURSO;SERIE;Matutino;211;Informática Educacional;2ª Etapa;32.50;0
2017;3557;CURSO;SERIE;Matutino;211;Informática Educacional;2ª Etapa - Resultado;32.50;0
2017;3557;CURSO;SERIE;Matutino;211;Informática Educacional;Total;62.50;0
2017;3557;CURSO;SERIE;Matutino;211;Inglês;1ª Etapa;29.50;0
2017;3557;CURSO;SERIE;Matutino;211;Inglês;1ª Etapa - Resultado;29.50;0
2017;3557;CURSO;SERIE;Matutino;211;Inglês;2ª Etapa;35.00;0
2017;3557;CURSO;SERIE;Matutino;211;Inglês;2ª Etapa - Resultado;35.00;0
2017;3557;CURSO;SERIE;Matutino;211;Inglês;Total;64.50;0
2017;3557;CURSO;SERIE;Matutino;211;Língua Portuguesa;1ª Etapa;28.00;0
2017;3557;CURSO;SERIE;Matutino;211;Língua Portuguesa;1ª Etapa - Resultado;28.00;0
2017;3557;CURSO;SERIE;Matutino;211;Língua Portuguesa;2ª Etapa;31.50;0
2017;3557;CURSO;SERIE;Matutino;211;Língua Portuguesa;2ª Etapa - Resultado;31.50;0
2017;3557;CURSO;SERIE;Matutino;211;Língua Portuguesa;3ª Etapa;9.00;0
2017;3557;CURSO;SERIE;Matutino;211;Língua Portuguesa;Total;68.50;0
2017;3557;CURSO;SERIE;Matutino;211;Matemática;1ª Etapa;29.50;0
2017;3557;CURSO;SERIE;Matutino;211;Matemática;1ª Etapa - Resultado;29.50;0
2017;3557;CURSO;SERIE;Matutino;211;Matemática;2ª Etapa;31.00;0
